,STATENAME,COUNTYNAME,ADDRESS_CITY,ORI9,actual,cleared,data_year,offense,ori,state_abbr
188,NEW YORK,MADISON,CHITTENANGO,NY0262900,0,0,2016,rape,NY0262900,NY
189,NEW YORK,MADISON,CHITTENANGO,NY0262900,0,0,2016,rape-legacy,NY0262900,NY
190,NEW YORK,MADISON,CHITTENANGO,NY0262900,1,1,2016,robbery,NY0262900,NY
191,NEW YORK,MADISON,CHITTENANGO,NY0262900,2,2,2016,violent-crime,NY0262900,NY
192,NEW YORK,MADISON,HAMILTON,NY0262500,1,1,2016,aggravated-assault,NY0262500,NY
193,NEW YORK,MADISON,HAMILTON,NY0262500,0,0,2016,arson,NY0262500,NY
194,NEW YORK,MADISON,HAMILTON,NY0262500,1,0,2016,burglary,NY0262500,NY
195,NEW YORK,MADISON,HAMILTON,NY0262500,0,0,2016,homicide,NY0262500,NY
196,NEW YORK,MADISON,HAMILTON,NY0262500,0,0,2016,human-trafficing,NY0262500,NY
197,NEW YORK,MADISON,HAMILTON,NY0262500,12,8,2016,larceny,NY0262500,NY
198,NEW YORK,MADISON,HAMILTON,NY0262500,0,0,2016,motor-vehicle-theft,NY0262500,NY
199,NEW YORK,MADISON,HAMILTON,NY0262500,13,8,2016,property-crime,NY0262500,NY
200,NEW YORK,MADISON,HAMILTON,NY0262500,0,0,2016,rape,NY0262500,NY
201,NEW YORK,MADISON,HAMILTON,NY0262500,0,0,2016,rape-legacy,NY0262500,NY
202,NEW YORK,MADISON,HAMILTON,NY0262500,0,0,2016,robbery,NY0262500,NY
203,NEW YORK,MADISON,HAMILTON,NY0262500,1,1,2016,violent-crime,NY0262500,NY
204,NEW YORK,MADISON,MORRISVILLE,NY226UN00,2,0,2016,aggravated-assault,NY226UN00,NY
205,NEW YORK,MADISON,MORRISVILLE,NY226UN00,0,0,2016,arson,NY226UN00,NY
206,NEW YORK,MADISON,MORRISVILLE,NY226UN00,3,0,2016,burglary,NY226UN00,NY
207,NEW YORK,MADISON,MORRISVILLE,NY226UN00,0,0,2016,homicide,NY226UN00,NY
208,NEW YORK,MADISON,MORRISVILLE,NY226UN00,0,0,2016,human-trafficing,NY226UN00,NY
209,NEW YORK,MADISON,MORRISVILLE,NY226UN00,23,15,2016,larceny,NY226UN00,NY
210,NEW YORK,MADISON,MORRISVILLE,NY226UN00,0,0,2016,motor-vehicle-theft,NY226UN00,NY
211,NEW YORK,MADISON,MORRISVILLE,NY226UN00,26,15,2016,property-crime,NY226UN00,NY
212,NEW YORK,MADISON,MORRISVILLE,NY226UN00,3,1,2016,rape,NY226UN00,NY
213,NEW YORK,MADISON,MORRISVILLE,NY226UN00,0,0,2016,rape-legacy,NY226UN00,NY
214,NEW YORK,MADISON,MORRISVILLE,NY226UN00,0,0,2016,robbery,NY226UN00,NY
215,NEW YORK,MADISON,MORRISVILLE,NY226UN00,5,1,2016,violent-crime,NY226UN00,NY
216,NEW YORK,MADISON,ONEIDA,NY0260100,24,18,2016,aggravated-assault,NY0260100,NY
217,NEW YORK,MADISON,ONEIDA,NY0260100,0,0,2016,arson,NY0260100,NY
218,NEW YORK,MADISON,ONEIDA,NY0260100,54,14,2016,burglary,NY0260100,NY
219,NEW YORK,MADISON,ONEIDA,NY0260100,1,1,2016,homicide,NY0260100,NY
220,NEW YORK,MADISON,ONEIDA,NY0260100,0,0,2016,human-trafficing,NY0260100,NY
221,NEW YORK,MADISON,ONEIDA,NY0260100,375,190,2016,larceny,NY0260100,NY
222,NEW YORK,MADISON,ONEIDA,NY0260100,9,4,2016,motor-vehicle-theft,NY0260100,NY
223,NEW YORK,MADISON,ONEIDA,NY0260100,438,208,2016,property-crime,NY0260100,NY
224,NEW YORK,MADISON,ONEIDA,NY0260100,12,3,2016,rape,NY0260100,NY
225,NEW YORK,MADISON,ONEIDA,NY0260100,0,0,2016,rape-legacy,NY0260100,NY
226,NEW YORK,MADISON,ONEIDA,NY0260100,7,6,2016,robbery,NY0260100,NY
227,NEW YORK,MADISON,ONEIDA,NY0260100,44,28,2016,violent-crime,NY0260100,NY
228,NEW YORK,MADISON,WAMPSVILLE,NY0260000,7,7,2016,aggravated-assault,NY0260000,NY
229,NEW YORK,MADISON,WAMPSVILLE,NY0260000,1,0,2016,arson,NY0260000,NY
230,NEW YORK,MADISON,WAMPSVILLE,NY0260000,24,5,2016,burglary,NY0260000,NY
231,NEW YORK,MADISON,WAMPSVILLE,NY0260000,0,0,2016,homicide,NY0260000,NY
232,NEW YORK,MADISON,WAMPSVILLE,NY0260000,0,0,2016,human-trafficing,NY0260000,NY
233,NEW YORK,MADISON,WAMPSVILLE,NY0260000,81,26,2016,larceny,NY0260000,NY
234,NEW YORK,MADISON,WAMPSVILLE,NY0260000,11,5,2016,motor-vehicle-theft,NY0260000,NY
235,NEW YORK,MADISON,WAMPSVILLE,NY0260000,116,36,2016,property-crime,NY0260000,NY
236,NEW YORK,MADISON,WAMPSVILLE,NY0260000,9,9,2016,rape,NY0260000,NY
237,NEW YORK,MADISON,WAMPSVILLE,NY0260000,0,0,2016,rape-legacy,NY0260000,NY
238,NEW YORK,MADISON,WAMPSVILLE,NY0260000,0,0,2016,robbery,NY0260000,NY
239,NEW YORK,MADISON,WAMPSVILLE,NY0260000,16,16,2016,violent-crime,NY0260000,NY
240,NEW YORK,MADISON,ONEIDA,NY326SD00,8,6,2016,aggravated-assault,NY326SD00,NY
241,NEW YORK,MADISON,ONEIDA,NY326SD00,3,1,2016,arson,NY326SD00,NY
242,NEW YORK,MADISON,ONEIDA,NY326SD00,43,7,2016,burglary,NY326SD00,NY
243,NEW YORK,MADISON,ONEIDA,NY326SD00,0,0,2016,homicide,NY326SD00,NY
244,NEW YORK,MADISON,ONEIDA,NY326SD00,0,0,2016,human-trafficing,NY326SD00,NY
245,NEW YORK,MADISON,ONEIDA,NY326SD00,147,48,2016,larceny,NY326SD00,NY
246,NEW YORK,MADISON,ONEIDA,NY326SD00,10,6,2016,motor-vehicle-theft,NY326SD00,NY
247,NEW YORK,MADISON,ONEIDA,NY326SD00,200,61,2016,property-crime,NY326SD00,NY
248,NEW YORK,MADISON,ONEIDA,NY326SD00,30,13,2016,rape,NY326SD00,NY
