PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,31180,"Lubbock, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,710,2.6,5.093,1.09,27.86,"57,940",4.1,16.91,21.66,27.90,34.41,38.85,"35,170","45,060","58,030","71,560","80,800",,
TX,32580,"McAllen-Edinburg-Mission, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,100,14.8,0.402,0.56,46.26,"96,210",8.6,16.72,29.86,46.66,61.97,71.96,"34,790","62,100","97,050","128,900","149,680",,
TX,32580,"McAllen-Edinburg-Mission, TX",33-3012,Correctional Officers and Jailers,detailed,990,32.1,3.949,1.28,20.40,"42,440",4.9,13.96,17.77,20.06,21.10,28.05,"29,040","36,950","41,720","43,890","58,340",,
TX,32580,"McAllen-Edinburg-Mission, TX",33-3021,Detectives and Criminal Investigators,detailed,"1,370",0.9,5.498,7.35,35.02,"72,850",7.2,19.99,28.49,37.56,38.70,44.38,"41,580","59,250","78,120","80,490","92,310",,
TX,32580,"McAllen-Edinburg-Mission, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,"1,570",18.3,6.285,1.34,22.94,"47,720",4.9,12.83,16.97,21.96,27.85,34.56,"26,690","35,290","45,680","57,930","71,890",,
TX,33260,"Midland, TX",33-3021,Detectives and Criminal Investigators,detailed,60,0.0,0.650,0.87,34.58,"71,930",2.0,21.96,24.33,32.51,40.97,50.75,"45,680","50,600","67,630","85,210","105,550",,
TX,33260,"Midland, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,320,46.4,3.686,0.79,31.12,"64,730",5.1,20.24,21.85,25.85,35.30,64.05,"42,110","45,450","53,770","73,430","133,230",,
TX,36220,"Odessa, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,290,0.0,4.194,0.90,27.01,"56,180",1.7,20.17,22.27,26.66,31.34,36.75,"41,950","46,330","55,460","65,180","76,430",,
TX,41660,"San Angelo, TX",33-3012,Correctional Officers and Jailers,detailed,190,1.1,4.084,1.33,17.76,"36,950",3.8,15.22,16.15,17.66,19.17,21.10,"31,650","33,600","36,740","39,870","43,880",,
TX,41660,"San Angelo, TX",33-3021,Detectives and Criminal Investigators,detailed,60,1.0,1.240,1.66,39.98,"83,160",13.1,16.96,20.76,39.84,57.51,62.59,"35,280","43,190","82,860","119,630","130,190",,
TX,41660,"San Angelo, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,390,1.4,8.262,1.76,25.48,"52,990",3.6,18.47,20.97,24.43,29.36,35.60,"38,420","43,610","50,810","61,070","74,040",,
TX,41700,"San Antonio-New Braunfels, TX",33-1012,First-Line Supervisors of Police and Detectives,detailed,230,9.2,0.234,0.33,43.15,"89,740",2.0,25.55,28.52,41.47,52.78,69.96,"53,150","59,310","86,250","109,790","145,530",,
TX,41700,"San Antonio-New Braunfels, TX",33-3012,Correctional Officers and Jailers,detailed,"2,490",11.1,2.551,0.83,19.39,"40,320",2.0,15.17,16.87,19.31,21.10,24.05,"31,550","35,090","40,170","43,890","50,020",,
TX,41700,"San Antonio-New Braunfels, TX",33-3021,Detectives and Criminal Investigators,detailed,"1,510",2.5,1.549,2.07,34.85,"72,490",2.2,18.58,25.03,33.88,38.80,59.21,"38,650","52,050","70,460","80,710","123,150",,
TX,41700,"San Antonio-New Braunfels, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,"4,890",3.1,4.999,1.07,28.17,"58,590",4.7,19.62,22.09,27.62,34.61,38.43,"40,810","45,950","57,450","71,990","79,940",,
TX,43300,"Sherman-Denison, TX",33-3021,Detectives and Criminal Investigators,detailed,40,16.4,0.832,1.11,33.92,"70,550",7.9,20.43,24.61,28.57,49.68,55.72,"42,490","51,190","59,430","103,340","115,890",,
TX,43300,"Sherman-Denison, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,240,16.4,5.577,1.19,25.87,"53,810",2.6,17.97,21.35,25.68,30.23,35.64,"37,380","44,400","53,410","62,880","74,140",,
TX,45500,"Texarkana, TX-AR",33-1012,First-Line Supervisors of Police and Detectives,detailed,60,24.6,1.097,1.54,28.85,"60,010",4.0,18.82,24.08,27.82,31.80,37.78,"39,140","50,090","57,870","66,150","78,580",,
TX,45500,"Texarkana, TX-AR",33-3012,Correctional Officers and Jailers,detailed,820,15.8,14.725,4.79,19.31,"40,160",4.2,14.19,16.79,18.78,21.09,24.62,"29,510","34,920","39,060","43,880","51,200",,
TX,45500,"Texarkana, TX-AR",33-3021,Detectives and Criminal Investigators,detailed,40,9.7,0.707,0.95,27.27,"56,720",11.2,14.80,16.65,21.21,28.06,60.89,"30,780","34,640","44,110","58,360","126,650",,
TX,45500,"Texarkana, TX-AR",33-3051,Police and Sheriff's Patrol Officers,detailed,410,8.9,7.405,1.58,21.74,"45,210",3.5,15.31,17.91,21.05,24.21,30.10,"31,850","37,250","43,780","50,350","62,600",,
TX,46340,"Tyler, TX",33-3021,Detectives and Criminal Investigators,detailed,80,0.0,0.821,1.10,34.01,"70,730",2.1,15.79,18.94,26.22,48.37,62.59,"32,850","39,400","54,540","100,610","130,200",,
TX,46340,"Tyler, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,510,2.0,5.101,1.09,26.91,"55,970",4.0,17.18,21.03,25.95,33.30,38.21,"35,740","43,750","53,970","69,250","79,470",,
TX,47020,"Victoria, TX",33-3021,Detectives and Criminal Investigators,detailed,50,0.0,1.279,1.71,27.05,"56,260",2.0,18.14,20.56,23.36,29.24,45.53,"37,720","42,770","48,580","60,820","94,700",,
TX,47020,"Victoria, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,210,9.4,5.161,1.10,23.58,"49,050",2.9,17.06,20.29,22.52,25.30,34.08,"35,480","42,200","46,850","52,630","70,890",,
TX,47380,"Waco, TX",33-3012,Correctional Officers and Jailers,detailed,840,0.2,7.461,2.43,19.02,"39,550",2.3,16.02,17.77,18.99,20.47,21.10,"33,330","36,950","39,500","42,580","43,880",,
TX,47380,"Waco, TX",33-3021,Detectives and Criminal Investigators,detailed,80,6.4,0.682,0.91,30.22,"62,870",5.9,17.87,21.09,24.61,37.01,55.47,"37,180","43,860","51,190","76,990","115,380",,
TX,47380,"Waco, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,620,4.3,5.519,1.18,26.04,"54,170",3.1,15.80,20.19,25.47,32.19,38.12,"32,850","41,990","52,980","66,960","79,290",,
TX,48660,"Wichita Falls, TX",33-3051,Police and Sheriff's Patrol Officers,detailed,380,2.8,6.841,1.46,25.69,"53,440",3.5,16.73,20.84,26.07,29.66,35.50,"34,790","43,340","54,220","61,690","73,850",,
UT,30860,"Logan, UT-ID",33-1012,First-Line Supervisors of Police and Detectives,detailed,50,1.2,0.848,1.19,28.72,"59,730",2.5,18.02,25.30,28.69,32.96,37.73,"37,470","52,620","59,680","68,550","78,470",,
UT,30860,"Logan, UT-ID",33-3051,Police and Sheriff's Patrol Officers,detailed,160,2.9,3.032,0.65,19.77,"41,120",1.7,14.31,16.67,19.54,22.98,25.10,"29,760","34,680","40,650","47,800","52,200",,
UT,36260,"Ogden-Clearfield, UT",33-1012,First-Line Supervisors of Police and Detectives,detailed,170,3.4,0.698,0.98,33.77,"70,230",1.3,24.99,27.71,31.62,37.93,46.42,"51,970","57,630","65,760","78,880","96,550",,
