,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
237, FL,Crestview-Fort Walton Beach-Destin,First-Line Supervisors of Police and Detectives,30,0.304,29.45,"61,260",27.43,"57,060"
238, FL,Crestview-Fort Walton Beach-Destin,Correctional Officers and Jailers,580,5.502,17.29,"35,970",17.14,"35,650"
239, FL,Crestview-Fort Walton Beach-Destin,Detectives and Criminal Investigators,50,0.505,37.34,"77,660",30.07,"62,540"
240, FL,Crestview-Fort Walton Beach-Destin,Police and Sheriff's Patrol Officers,340,3.184,18.95,"39,420",18.30,"38,070"
241, FL,Deltona-Daytona Beach-Ormond Beach,First-Line Supervisors of Police and Detectives,90,0.474,35.68,"74,220",35.43,"73,700"
242, FL,Deltona-Daytona Beach-Ormond Beach,Correctional Officers and Jailers,550,2.913,17.45,"36,310",17.15,"35,670"
243, FL,Deltona-Daytona Beach-Ormond Beach,Detectives and Criminal Investigators,110,0.573,24.03,"49,970",22.84,"47,510"
244, FL,Deltona-Daytona Beach-Ormond Beach,Police and Sheriff's Patrol Officers,"1,010",5.299,20.40,"42,420",19.29,"40,120"
245, FL Metropolitan Division,Fort Lauderdale-Pompano Beach-Deerfield Beach,First-Line Supervisors of Police and Detectives,340,0.432,57.04,"118,650",58.40,"121,470"
246, FL Metropolitan Division,Fort Lauderdale-Pompano Beach-Deerfield Beach,Correctional Officers and Jailers,"1,630",2.040,30.31,"63,050",32.47,"67,540"
247, FL Metropolitan Division,Fort Lauderdale-Pompano Beach-Deerfield Beach,Detectives and Criminal Investigators,690,0.865,45.08,"93,770",42.83,"89,100"
248, FL Metropolitan Division,Fort Lauderdale-Pompano Beach-Deerfield Beach,Police and Sheriff's Patrol Officers,"4,160",5.215,34.74,"72,260",35.60,"74,040"
249, FL Metropolitan Division,Fort Lauderdale-Pompano Beach-Deerfield Beach,Private Detectives and Investigators,**,**,21.92,"45,590",22.25,"46,290"
250, FL,Gainesville,First-Line Supervisors of Police and Detectives,70,0.513,38.25,"79,560",37.82,"78,670"
251, FL,Gainesville,Correctional Officers and Jailers,590,4.586,17.97,"37,390",17.65,"36,710"
252, FL,Gainesville,Detectives and Criminal Investigators,110,0.858,30.29,"63,010",24.28,"50,490"
253, FL,Gainesville,Police and Sheriff's Patrol Officers,640,5.007,22.76,"47,340",22.02,"45,790"
254, FL,Gainesville,Private Detectives and Investigators,**,**,22.05,"45,860",21.61,"44,940"
255, FL,Jacksonville,First-Line Supervisors of Police and Detectives,280,0.433,44.94,"93,480",42.39,"88,170"
256, FL,Jacksonville,Correctional Officers and Jailers,"1,710",2.645,21.25,"44,200",19.77,"41,110"
257, FL,Jacksonville,Detectives and Criminal Investigators,420,0.652,36.26,"75,410",28.03,"58,310"
258, FL,Jacksonville,Police and Sheriff's Patrol Officers,"2,800",4.340,24.14,"50,200",24.51,"50,990"
259, FL,Jacksonville,Private Detectives and Investigators,260,0.400,22.30,"46,390",19.49,"40,540"
260, FL,Lakeland-Winter Haven,First-Line Supervisors of Police and Detectives,100,0.488,37.98,"78,990",37.66,"78,340"
261, FL,Lakeland-Winter Haven,Correctional Officers and Jailers,720,3.378,19.91,"41,410",18.30,"38,070"
262, FL,Lakeland-Winter Haven,Detectives and Criminal Investigators,180,0.829,24.74,"51,470",23.84,"49,590"
263, FL,Lakeland-Winter Haven,Police and Sheriff's Patrol Officers,960,4.528,23.82,"49,540",23.14,"48,120"
264, FL Metropolitan Division,Miami-Miami Beach-Kendall,First-Line Supervisors of Police and Detectives,580,0.514,51.56,"107,250",49.18,"102,280"
265, FL Metropolitan Division,Miami-Miami Beach-Kendall,Correctional Officers and Jailers,"3,420",3.038,23.09,"48,030",23.02,"47,880"
266, FL Metropolitan Division,Miami-Miami Beach-Kendall,Detectives and Criminal Investigators,840,0.743,47.27,"98,330",49.64,"103,260"
267, FL Metropolitan Division,Miami-Miami Beach-Kendall,Police and Sheriff's Patrol Officers,"6,210",5.520,32.36,"67,310",33.02,"68,670"
268, FL Metropolitan Division,Miami-Miami Beach-Kendall,Private Detectives and Investigators,160,0.143,22.78,"47,380",19.85,"41,290"
269, FL,Naples-Immokalee-Marco Island,First-Line Supervisors of Police and Detectives,60,0.416,48.42,"100,700",49.92,"103,830"
270, FL,Naples-Immokalee-Marco Island,Correctional Officers and Jailers,390,2.807,23.14,"48,130",22.81,"47,450"
271, FL,Naples-Immokalee-Marco Island,Detectives and Criminal Investigators,30,0.229,24.41,"50,780",22.29,"46,360"
272, FL,Naples-Immokalee-Marco Island,Police and Sheriff's Patrol Officers,700,5.037,29.09,"60,510",28.67,"59,630"
273, FL,North Port-Sarasota-Bradenton,First-Line Supervisors of Police and Detectives,180,0.650,42.34,"88,080",41.95,"87,250"
274, FL,North Port-Sarasota-Bradenton,Correctional Officers and Jailers,480,1.680,24.82,"51,640",25.03,"52,070"
275, FL,North Port-Sarasota-Bradenton,Detectives and Criminal Investigators,90,0.330,31.10,"64,690",28.70,"59,700"
276, FL,North Port-Sarasota-Bradenton,Police and Sheriff's Patrol Officers,"1,240",4.401,28.08,"58,410",28.28,"58,830"
277, FL,Ocala,First-Line Supervisors of Police and Detectives,90,0.876,36.89,"76,720",35.76,"74,380"
278, FL,Ocala,Detectives and Criminal Investigators,80,0.788,28.12,"58,480",27.73,"57,670"
279, FL,Ocala,Police and Sheriff's Patrol Officers,560,5.698,22.14,"46,060",21.76,"45,270"
280, FL,Orlando-Kissimmee-Sanford,First-Line Supervisors of Police and Detectives,430,0.363,42.08,"87,520",42.32,"88,020"
281, FL,Orlando-Kissimmee-Sanford,Correctional Officers and Jailers,"2,560",2.186,19.61,"40,780",18.62,"38,730"
282, FL,Orlando-Kissimmee-Sanford,Detectives and Criminal Investigators,520,0.444,33.46,"69,590",27.64,"57,490"
283, FL,Orlando-Kissimmee-Sanford,Police and Sheriff's Patrol Officers,"4,340",3.706,25.24,"52,500",23.65,"49,190"
284, FL,Orlando-Kissimmee-Sanford,Private Detectives and Investigators,260,0.220,22.20,"46,170",19.70,"40,980"
285, FL,Palm Bay-Melbourne-Titusville,First-Line Supervisors of Police and Detectives,130,0.654,37.45,"77,890",36.41,"75,730"
286, FL,Palm Bay-Melbourne-Titusville,Correctional Officers and Jailers,650,3.224,20.41,"42,460",19.10,"39,720"
287, FL,Palm Bay-Melbourne-Titusville,Detectives and Criminal Investigators,170,0.863,27.70,"57,610",23.67,"49,240"
288, FL,Palm Bay-Melbourne-Titusville,Police and Sheriff's Patrol Officers,"1,180",5.903,22.41,"46,610",21.72,"45,170"
289, FL,Panama City,First-Line Supervisors of Police and Detectives,60,0.727,33.39,"69,460",31.72,"65,970"
290, FL,Panama City,Correctional Officers and Jailers,790,9.789,15.87,"33,000",15.89,"33,040"
291, FL,Panama City,Detectives and Criminal Investigators,70,0.884,32.80,"68,220",25.39,"52,820"
292, FL,Panama City,Police and Sheriff's Patrol Officers,480,5.883,20.18,"41,970",19.31,"40,160"
293, FL,Pensacola-Ferry Pass-Brent,First-Line Supervisors of Police and Detectives,110,0.654,35.52,"73,880",32.74,"68,110"
294, FL,Pensacola-Ferry Pass-Brent,Correctional Officers and Jailers,"1,440",8.735,17.72,"36,870",17.36,"36,110"
295, FL,Pensacola-Ferry Pass-Brent,Detectives and Criminal Investigators,130,0.788,36.80,"76,530",29.26,"60,850"
296, FL,Pensacola-Ferry Pass-Brent,Police and Sheriff's Patrol Officers,930,5.619,20.22,"42,060",18.91,"39,330"
297, FL,Port St. Lucie,First-Line Supervisors of Police and Detectives,50,0.379,45.03,"93,670",43.38,"90,240"
298, FL,Port St. Lucie,Detectives and Criminal Investigators,100,0.709,38.15,"79,350",34.34,"71,430"
299, FL,Port St. Lucie,Police and Sheriff's Patrol Officers,590,4.297,26.64,"55,410",25.99,"54,070"
300, FL,Port St. Lucie,Private Detectives and Investigators,**,**,20.43,"42,490",20.91,"43,490"
301, FL,Punta Gorda,First-Line Supervisors of Police and Detectives,40,0.923,39.67,"82,520",37.80,"78,610"
302, FL,Punta Gorda,Police and Sheriff's Patrol Officers,340,7.606,25.35,"52,730",24.66,"51,290"
303, FL,Sebastian-Vero Beach,Detectives and Criminal Investigators,30,0.684,24.13,"50,190",22.59,"46,990"
304, FL,Sebastian-Vero Beach,Police and Sheriff's Patrol Officers,250,5.274,24.57,"51,110",22.91,"47,660"
305, FL,Sebring,Detectives and Criminal Investigators,40,1.433,22.10,"45,960",21.94,"45,630"
306, FL,Sebring,Police and Sheriff's Patrol Officers,170,6.723,22.19,"46,150",21.97,"45,690"
307, FL,Tallahassee,First-Line Supervisors of Police and Detectives,210,1.306,39.95,"83,100",39.88,"82,940"
308, FL,Tallahassee,Correctional Officers and Jailers,"1,440",8.771,18.18,"37,820",17.43,"36,250"
309, FL,Tallahassee,Detectives and Criminal Investigators,360,2.185,30.00,"62,400",27.70,"57,610"
310, FL,Tallahassee,Police and Sheriff's Patrol Officers,920,5.606,25.49,"53,010",24.00,"49,920"
311, FL,Tallahassee,Private Detectives and Investigators,100,0.584,18.98,"39,490",18.10,"37,640"
312, FL,Tampa-St. Petersburg-Clearwater,First-Line Supervisors of Police and Detectives,390,0.311,45.13,"93,860",44.14,"91,810"
313, FL,Tampa-St. Petersburg-Clearwater,Correctional Officers and Jailers,"2,560",2.024,25.21,"52,440",24.71,"51,400"
314, FL,Tampa-St. Petersburg-Clearwater,Detectives and Criminal Investigators,990,0.784,36.47,"75,850",33.14,"68,940"
315, FL,Tampa-St. Petersburg-Clearwater,Police and Sheriff's Patrol Officers,"5,120",4.044,27.13,"56,430",26.15,"54,400"
316, FL,Tampa-St. Petersburg-Clearwater,Private Detectives and Investigators,**,**,24.10,"50,120",25.59,"53,230"
317, FL,The Villages,Correctional Officers and Jailers,"1,040",41.388,22.15,"46,070",20.79,"43,240"
318, FL,The Villages,Detectives and Criminal Investigators,30,1.244,21.77,"45,290",21.50,"44,730"
319, FL,The Villages,Police and Sheriff's Patrol Officers,170,6.632,20.44,"42,510",19.80,"41,180"
320, FL Metropolitan Division,West Palm Beach-Boca Raton-Delray Beach,First-Line Supervisors of Police and Detectives,300,0.502,51.89,"107,920",53.56,"111,400"
321, FL Metropolitan Division,West Palm Beach-Boca Raton-Delray Beach,Correctional Officers and Jailers,"1,560",2.652,25.03,"52,050",23.56,"49,010"
322, FL Metropolitan Division,West Palm Beach-Boca Raton-Delray Beach,Detectives and Criminal Investigators,480,0.812,41.86,"87,070",41.26,"85,830"
323, FL Metropolitan Division,West Palm Beach-Boca Raton-Delray Beach,Police and Sheriff's Patrol Officers,"2,850",4.838,33.42,"69,520",33.09,"68,830"
324, FL Metropolitan Division,West Palm Beach-Boca Raton-Delray Beach,Private Detectives and Investigators,190,0.315,20.86,"43,380",17.93,"37,300"
325, GA,Albany,First-Line Supervisors of Police and Detectives,100,1.788,27.94,"58,110",25.07,"52,140"
326, GA,Albany,Correctional Officers and Jailers,350,6.019,13.77,"28,640",13.75,"28,590"
327, GA,Albany,Detectives and Criminal Investigators,60,1.077,24.71,"51,400",20.18,"41,970"
328, GA,Albany,Police and Sheriff's Patrol Officers,490,8.480,16.92,"35,200",16.81,"34,960"
329, GA,Athens-Clarke County,First-Line Supervisors of Police and Detectives,50,0.633,34.42,"71,580",33.65,"69,980"
330, GA,Athens-Clarke County,Correctional Officers and Jailers,100,1.248,14.16,"29,460",12.46,"25,910"
331, GA,Athens-Clarke County,Detectives and Criminal Investigators,60,0.689,23.10,"48,060",19.64,"40,840"
332, GA,Athens-Clarke County,Police and Sheriff's Patrol Officers,530,6.402,20.01,"41,620",19.85,"41,280"
333, GA,Atlanta-Sandy Springs-Roswell,First-Line Supervisors of Police and Detectives,"1,960",0.768,33.87,"70,440",31.99,"66,530"
334, GA,Atlanta-Sandy Springs-Roswell,Correctional Officers and Jailers,"4,120",1.612,17.16,"35,690",16.58,"34,480"
335, GA,Atlanta-Sandy Springs-Roswell,Detectives and Criminal Investigators,"1,680",0.657,32.50,"67,600",24.23,"50,400"
336, GA,Atlanta-Sandy Springs-Roswell,Fish and Game Wardens,80,0.030,21.29,"44,270",20.45,"42,530"
337, GA,Atlanta-Sandy Springs-Roswell,Police and Sheriff's Patrol Officers,"12,840",5.027,21.47,"44,670",21.31,"44,320"
338, GA,Atlanta-Sandy Springs-Roswell,Private Detectives and Investigators,770,0.301,22.01,"45,780",19.34,"40,220"
339, GA-SC,Augusta-Richmond County,First-Line Supervisors of Police and Detectives,200,0.916,27.05,"56,270",26.25,"54,590"
340, GA-SC,Augusta-Richmond County,Correctional Officers and Jailers,960,4.486,16.62,"34,570",15.51,"32,270"
341, GA-SC,Augusta-Richmond County,Detectives and Criminal Investigators,120,0.581,32.63,"67,860",26.68,"55,500"
342, GA-SC,Augusta-Richmond County,Police and Sheriff's Patrol Officers,"1,330",6.234,17.79,"37,000",16.25,"33,800"
343, GA-SC,Augusta-Richmond County,Private Detectives and Investigators,50,0.257,23.84,"49,580",23.38,"48,630"
344, GA,Brunswick,First-Line Supervisors of Police and Detectives,70,1.722,46.15,"95,990",38.58,"80,250"
345, GA,Brunswick,Correctional Officers and Jailers,160,3.963,14.49,"30,130",13.99,"29,100"
346, GA,Brunswick,Detectives and Criminal Investigators,140,3.525,58.56,"121,800",60.89,"126,660"
347, GA,Brunswick,Police and Sheriff's Patrol Officers,320,8.160,20.22,"42,060",18.27,"38,000"
348, GA-AL,Columbus,First-Line Supervisors of Police and Detectives,210,1.854,31.69,"65,920",30.11,"62,640"
349, GA-AL,Columbus,Correctional Officers and Jailers,520,4.593,15.12,"31,450",14.66,"30,500"
350, GA-AL,Columbus,Detectives and Criminal Investigators,50,0.487,35.62,"74,080",24.91,"51,810"
351, GA-AL,Columbus,Police and Sheriff's Patrol Officers,800,7.150,18.38,"38,220",18.65,"38,790"
352, GA,Dalton,First-Line Supervisors of Police and Detectives,40,0.640,26.12,"54,330",24.55,"51,060"
353, GA,Dalton,Correctional Officers and Jailers,80,1.171,13.24,"27,540",12.98,"27,010"
354, GA,Dalton,Detectives and Criminal Investigators,40,0.530,24.21,"50,350",20.19,"41,990"
355, GA,Dalton,Police and Sheriff's Patrol Officers,320,4.717,18.37,"38,200",18.07,"37,580"
356, GA,Gainesville,Correctional Officers and Jailers,160,1.937,15.93,"33,130",16.41,"34,130"
357, GA,Gainesville,Detectives and Criminal Investigators,50,0.653,23.95,"49,820",22.16,"46,100"
358, GA,Gainesville,Police and Sheriff's Patrol Officers,300,3.648,20.15,"41,910",19.18,"39,890"
359, GA,Hinesville,First-Line Supervisors of Police and Detectives,40,2.169,30.71,"63,880",28.21,"58,670"
360, GA,Hinesville,Police and Sheriff's Patrol Officers,180,10.891,20.16,"41,940",19.83,"41,250"
361, GA,Macon,First-Line Supervisors of Police and Detectives,70,0.666,33.78,"70,260",29.56,"61,490"
362, GA,Macon,Correctional Officers and Jailers,560,5.722,14.35,"29,840",14.24,"29,610"
363, GA,Macon,Detectives and Criminal Investigators,140,1.380,28.14,"58,540",23.12,"48,090"
364, GA,Macon,Police and Sheriff's Patrol Officers,640,6.512,17.53,"36,460",17.37,"36,130"
365, GA,Rome,First-Line Supervisors of Police and Detectives,30,0.911,30.36,"63,160",28.60,"59,490"
366, GA,Rome,Police and Sheriff's Patrol Officers,410,11.193,17.18,"35,730",16.82,"34,980"
367, GA,Savannah,First-Line Supervisors of Police and Detectives,140,0.856,36.94,"76,830",35.09,"72,990"
368, GA,Savannah,Correctional Officers and Jailers,490,2.932,15.57,"32,390",15.86,"32,990"
369, GA,Savannah,Detectives and Criminal Investigators,110,0.671,37.07,"77,110",30.41,"63,250"
370, GA,Savannah,Police and Sheriff's Patrol Officers,"1,170",7.091,19.63,"40,840",18.75,"39,000"
371, GA,Valdosta,First-Line Supervisors of Police and Detectives,70,1.299,25.97,"54,030",25.19,"52,400"
372, GA,Valdosta,Correctional Officers and Jailers,430,8.128,15.12,"31,450",15.00,"31,190"
373, GA,Valdosta,Detectives and Criminal Investigators,70,1.339,18.61,"38,710",18.05,"37,550"
374, GA,Valdosta,Police and Sheriff's Patrol Officers,310,5.945,16.48,"34,290",15.95,"33,180"
375, GA,Warner Robins,First-Line Supervisors of Police and Detectives,60,0.940,27.75,"57,730",25.89,"53,840"
376, GA,Warner Robins,Correctional Officers and Jailers,360,5.282,15.39,"32,020",15.17,"31,550"
377, GA,Warner Robins,Detectives and Criminal Investigators,50,0.682,23.71,"49,320",21.88,"45,520"
378, GA,Warner Robins,Police and Sheriff's Patrol Officers,340,4.994,19.94,"41,460",18.97,"39,450"
379, HI,Kahului-Wailuku-Lahaina,Detectives and Criminal Investigators,40,0.528,44.78,"93,130",44.19,"91,920"
380, HI,Kahului-Wailuku-Lahaina,Police and Sheriff's Patrol Officers,300,4.068,30.28,"62,970",29.57,"61,500"
381, HI,Urban Honolulu,Detectives and Criminal Investigators,360,0.778,50.56,"105,170",48.97,"101,860"
382, HI,Urban Honolulu,Police and Sheriff's Patrol Officers,"1,850",4.002,34.58,"71,930",34.84,"72,470"
383, HI,Urban Honolulu,Private Detectives and Investigators,70,0.149,25.01,"52,020",24.99,"51,980"
384, IA,Ames,First-Line Supervisors of Police and Detectives,50,1.243,35.58,"74,020",35.32,"73,450"
385, IA,Ames,Police and Sheriff's Patrol Officers,**,**,29.40,"61,140",29.27,"60,870"
386, IA,Cedar Rapids,First-Line Supervisors of Police and Detectives,50,0.345,*,*,*,*
387, IA,Cedar Rapids,Correctional Officers and Jailers,240,1.655,24.74,"51,470",25.06,"52,130"
388, IA,Cedar Rapids,Detectives and Criminal Investigators,60,0.394,43.16,"89,770",46.41,"96,530"
389, IA,Cedar Rapids,Police and Sheriff's Patrol Officers,**,**,28.47,"59,210",28.55,"59,380"
390, IA-IL,Davenport-Moline-Rock Island,First-Line Supervisors of Police and Detectives,180,0.997,37.48,"77,960",36.04,"74,970"
391, IA-IL,Davenport-Moline-Rock Island,Correctional Officers and Jailers,470,2.621,28.52,"59,320",28.15,"58,560"
392, IA-IL,Davenport-Moline-Rock Island,Detectives and Criminal Investigators,70,0.380,38.36,"79,790",35.62,"74,090"
393, IA-IL,Davenport-Moline-Rock Island,Police and Sheriff's Patrol Officers,820,4.557,25.45,"52,930",26.03,"54,150"
394, IA-IL,Davenport-Moline-Rock Island,Private Detectives and Investigators,**,**,25.18,"52,370",27.23,"56,630"
395, IA,Des Moines-West Des Moines,First-Line Supervisors of Police and Detectives,170,0.468,41.36,"86,020",41.66,"86,660"
396, IA,Des Moines-West Des Moines,Correctional Officers and Jailers,380,1.079,24.58,"51,140",25.19,"52,400"
397, IA,Des Moines-West Des Moines,Detectives and Criminal Investigators,180,0.508,37.72,"78,470",34.59,"71,960"
398, IA,Des Moines-West Des Moines,Police and Sheriff's Patrol Officers,970,2.742,31.04,"64,570",31.59,"65,700"
399, IA,Dubuque,First-Line Supervisors of Police and Detectives,40,0.646,40.18,"83,570",41.19,"85,670"
400, IA,Dubuque,Police and Sheriff's Patrol Officers,130,2.298,28.49,"59,250",28.24,"58,740"
401, IA,Iowa City,First-Line Supervisors of Police and Detectives,40,0.492,35.95,"74,770",34.70,"72,170"
402, IA,Iowa City,Police and Sheriff's Patrol Officers,280,3.042,28.76,"59,820",28.78,"59,870"
403, IA-NE-SD,Sioux City,First-Line Supervisors of Police and Detectives,60,0.756,38.43,"79,940",36.36,"75,620"
404, IA-NE-SD,Sioux City,Correctional Officers and Jailers,**,**,18.59,"38,680",17.83,"37,090"
405, IA-NE-SD,Sioux City,Detectives and Criminal Investigators,40,0.490,36.60,"76,120",29.46,"61,280"
406, IA-NE-SD,Sioux City,Police and Sheriff's Patrol Officers,290,3.411,26.87,"55,890",26.56,"55,240"
407, IA,Waterloo-Cedar Falls,First-Line Supervisors of Police and Detectives,70,0.765,34.07,"70,870",33.52,"69,720"
408, IA,Waterloo-Cedar Falls,Police and Sheriff's Patrol Officers,300,3.423,25.32,"52,670",25.06,"52,120"
409, ID,Boise City,First-Line Supervisors of Police and Detectives,180,0.616,42.93,"89,290",43.14,"89,730"
410, ID,Boise City,Correctional Officers and Jailers,"1,100",3.708,16.09,"33,480",15.54,"32,330"
411, ID,Boise City,Detectives and Criminal Investigators,180,0.596,35.81,"74,480",31.42,"65,360"
412, ID,Boise City,Police and Sheriff's Patrol Officers,880,2.981,26.53,"55,190",27.15,"56,480"
413, ID,Boise City,Private Detectives and Investigators,**,**,22.56,"46,920",22.96,"47,770"
414, ID,Coeur d'Alene,First-Line Supervisors of Police and Detectives,100,1.659,38.00,"79,050",36.90,"76,750"
415, ID,Coeur d'Alene,Detectives and Criminal Investigators,40,0.673,29.31,"60,970",29.08,"60,480"
416, ID,Coeur d'Alene,Police and Sheriff's Patrol Officers,300,5.137,25.58,"53,200",25.64,"53,320"
417, ID,Idaho Falls,First-Line Supervisors of Police and Detectives,40,0.648,35.98,"74,850",35.24,"73,300"
418, ID,Idaho Falls,Correctional Officers and Jailers,80,1.351,19.86,"41,320",20.66,"42,960"
419, ID,Idaho Falls,Detectives and Criminal Investigators,30,0.497,37.77,"78,550",34.04,"70,810"
420, ID,Idaho Falls,Police and Sheriff's Patrol Officers,160,2.608,23.39,"48,650",23.41,"48,700"
421, ID-WA,Lewiston,First-Line Supervisors of Police and Detectives,40,1.352,35.37,"73,560",35.18,"73,170"
422, ID-WA,Lewiston,Correctional Officers and Jailers,50,1.959,16.62,"34,570",16.39,"34,100"
423, ID-WA,Lewiston,Police and Sheriff's Patrol Officers,110,4.213,24.72,"51,420",25.11,"52,230"
424, ID,Pocatello,First-Line Supervisors of Police and Detectives,40,1.330,32.81,"68,240",29.39,"61,140"
425, ID,Pocatello,Police and Sheriff's Patrol Officers,100,3.180,26.09,"54,260",26.55,"55,220"
426, IL,Bloomington,First-Line Supervisors of Police and Detectives,70,0.737,42.31,"88,010",44.34,"92,230"
427, IL,Bloomington,Police and Sheriff's Patrol Officers,340,3.763,30.64,"63,730",32.43,"67,460"
428, IL,Carbondale-Marion,First-Line Supervisors of Police and Detectives,50,0.880,32.35,"67,280",33.58,"69,840"
429, IL,Carbondale-Marion,Correctional Officers and Jailers,240,4.526,23.46,"48,800",23.11,"48,070"
430, IL,Carbondale-Marion,Police and Sheriff's Patrol Officers,350,6.710,19.62,"40,810",19.66,"40,900"
431, IL,Champaign-Urbana,First-Line Supervisors of Police and Detectives,120,1.217,43.79,"91,090",43.96,"91,430"
432, IL,Champaign-Urbana,Correctional Officers and Jailers,160,1.630,20.73,"43,110",21.09,"43,870"
433, IL,Champaign-Urbana,Police and Sheriff's Patrol Officers,370,3.782,31.02,"64,530",31.88,"66,320"
434, IL Metropolitan Division,Chicago-Naperville-Arlington Heights,First-Line Supervisors of Police and Detectives,"3,940",1.082,50.34,"104,710",52.29,"108,750"
435, IL Metropolitan Division,Chicago-Naperville-Arlington Heights,Correctional Officers and Jailers,"5,120",1.408,29.22,"60,790",29.78,"61,950"
436, IL Metropolitan Division,Chicago-Naperville-Arlington Heights,Detectives and Criminal Investigators,"1,840",0.505,47.15,"98,070",45.17,"93,960"
437, IL Metropolitan Division,Chicago-Naperville-Arlington Heights,Police and Sheriff's Patrol Officers,"21,580",5.932,37.31,"77,590",38.58,"80,250"
438, IL Metropolitan Division,Chicago-Naperville-Arlington Heights,Private Detectives and Investigators,800,0.220,20.48,"42,610",18.50,"38,480"
439, IL,Danville,First-Line Supervisors of Police and Detectives,30,1.164,31.54,"65,610",30.29,"63,000"
440, IL,Danville,Police and Sheriff's Patrol Officers,250,9.532,23.78,"49,460",21.96,"45,680"
441, IL,Decatur,First-Line Supervisors of Police and Detectives,50,0.966,44.41,"92,370",45.04,"93,680"
442, IL,Decatur,Police and Sheriff's Patrol Officers,210,4.378,31.96,"66,480",33.02,"68,680"
443, IL Metropolitan Division,Elgin,First-Line Supervisors of Police and Detectives,340,1.364,46.68,"97,090",46.93,"97,610"
444, IL Metropolitan Division,Elgin,Correctional Officers and Jailers,150,0.588,34.35,"71,450",34.86,"72,500"
445, IL Metropolitan Division,Elgin,Detectives and Criminal Investigators,40,0.171,35.33,"73,490",36.15,"75,190"
446, IL Metropolitan Division,Elgin,Police and Sheriff's Patrol Officers,"1,250",5.068,36.48,"75,880",38.67,"80,430"
447, IL,Kankakee,First-Line Supervisors of Police and Detectives,60,1.514,42.79,"88,990",44.61,"92,790"
448, IL,Kankakee,Police and Sheriff's Patrol Officers,270,6.535,29.87,"62,130",32.47,"67,550"
449, IL-WI Metropolitan Division,Lake County-Kenosha County,First-Line Supervisors of Police and Detectives,250,0.613,49.29,"102,510",49.21,"102,350"
450, IL-WI Metropolitan Division,Lake County-Kenosha County,Correctional Officers and Jailers,170,0.417,31.51,"65,530",32.23,"67,040"
451, IL-WI Metropolitan Division,Lake County-Kenosha County,Detectives and Criminal Investigators,90,0.214,35.41,"73,660",34.99,"72,770"
452, IL-WI Metropolitan Division,Lake County-Kenosha County,Police and Sheriff's Patrol Officers,"1,300",3.241,35.47,"73,790",36.38,"75,680"
453, IL,Peoria,First-Line Supervisors of Police and Detectives,160,0.934,42.52,"88,440",43.09,"89,620"
454, IL,Peoria,Correctional Officers and Jailers,260,1.500,23.29,"48,450",23.09,"48,030"
455, IL,Peoria,Detectives and Criminal Investigators,50,0.274,34.24,"71,220",34.97,"72,750"
456, IL,Peoria,Police and Sheriff's Patrol Officers,640,3.647,26.98,"56,120",25.23,"52,470"
457, IL,Rockford,First-Line Supervisors of Police and Detectives,90,0.606,43.64,"90,780",44.98,"93,550"
458, IL,Rockford,Detectives and Criminal Investigators,110,0.767,40.83,"84,920",42.69,"88,800"
459, IL,Rockford,Police and Sheriff's Patrol Officers,600,4.022,29.43,"61,220",30.49,"63,420"
460, IL,Springfield,First-Line Supervisors of Police and Detectives,140,1.340,51.27,"106,640",51.71,"107,560"
461, IL,Springfield,Detectives and Criminal Investigators,160,1.493,41.74,"86,820",42.06,"87,490"
462, IL,Springfield,Police and Sheriff's Patrol Officers,580,5.411,27.79,"57,800",28.08,"58,400"
463, IN,Bloomington,First-Line Supervisors of Police and Detectives,60,0.841,33.99,"70,710",32.24,"67,070"
464, IN,Bloomington,Police and Sheriff's Patrol Officers,190,2.823,24.50,"50,960",25.36,"52,750"
465, IN,Columbus,First-Line Supervisors of Police and Detectives,40,0.745,30.35,"63,130",29.54,"61,430"
466, IN,Columbus,Police and Sheriff's Patrol Officers,60,1.312,24.10,"50,130",22.75,"47,310"
467, IN,Elkhart-Goshen,First-Line Supervisors of Police and Detectives,40,0.342,33.34,"69,340",34.12,"70,970"
468, IN,Elkhart-Goshen,Detectives and Criminal Investigators,70,0.515,27.51,"57,230",26.25,"54,590"
469, IN,Elkhart-Goshen,Police and Sheriff's Patrol Officers,230,1.782,23.85,"49,620",23.46,"48,790"
470, IN-KY,Evansville,First-Line Supervisors of Police and Detectives,80,0.509,33.25,"69,150",32.60,"67,800"
471, IN-KY,Evansville,Correctional Officers and Jailers,110,0.699,17.41,"36,200",17.35,"36,090"
472, IN-KY,Evansville,Police and Sheriff's Patrol Officers,**,**,24.22,"50,370",24.65,"51,260"
473, IN,Fort Wayne,First-Line Supervisors of Police and Detectives,130,0.597,33.61,"69,920",33.25,"69,170"
474, IN,Fort Wayne,Correctional Officers and Jailers,180,0.833,18.73,"38,960",19.00,"39,530"
475, IN,Fort Wayne,Detectives and Criminal Investigators,70,0.311,29.90,"62,190",24.74,"51,470"
476, IN,Fort Wayne,Police and Sheriff's Patrol Officers,780,3.689,25.97,"54,020",26.34,"54,790"
477, IN,Fort Wayne,Private Detectives and Investigators,**,**,22.31,"46,400",21.87,"45,500"
478, IN Metropolitan Division,Gary,First-Line Supervisors of Police and Detectives,200,0.733,34.14,"71,010",31.92,"66,390"
