,State,City,Job Title,Number of Employees,Jobs (per 1000),Mean Hourly Wage,Mean Annual Wage,Median Hourly Wage,Annual Median Wage
987, OK,Tulsa,Police and Sheriff's Patrol Officers,"1,900",4.387,24.52,"51,000",23.71,"49,310"
988, OK,Tulsa,Private Detectives and Investigators,60,0.128,15.81,"32,890",12.78,"26,590"
989, OR,Albany,First-Line Supervisors of Police and Detectives,30,0.764,41.65,"86,620",39.49,"82,130"
990, OR,Albany,Police and Sheriff's Patrol Officers,110,2.549,30.69,"63,840",29.87,"62,130"
991, OR,Bend-Redmond,First-Line Supervisors of Police and Detectives,60,0.814,48.54,"100,960",48.64,"101,160"
992, OR,Bend-Redmond,Detectives and Criminal Investigators,30,0.434,41.48,"86,270",37.96,"78,950"
993, OR,Bend-Redmond,Police and Sheriff's Patrol Officers,210,2.828,34.12,"70,980",35.87,"74,620"
994, OR,Corvallis,Police and Sheriff's Patrol Officers,70,2.116,33.27,"69,210",34.60,"71,960"
995, OR,Eugene,First-Line Supervisors of Police and Detectives,110,0.775,46.51,"96,740",46.33,"96,370"
996, OR,Eugene,Police and Sheriff's Patrol Officers,450,3.105,33.17,"69,000",34.86,"72,500"
997, OR,Medford,First-Line Supervisors of Police and Detectives,50,0.590,44.44,"92,430",45.94,"95,560"
998, OR,Medford,Police and Sheriff's Patrol Officers,270,3.316,31.80,"66,150",33.15,"68,950"
999, OR-WA,Portland-Vancouver-Hillsboro,First-Line Supervisors of Police and Detectives,720,0.637,47.79,"99,400",46.76,"97,250"
1000, OR-WA,Portland-Vancouver-Hillsboro,Correctional Officers and Jailers,"1,580",1.396,30.16,"62,730",30.25,"62,920"
1001, OR-WA,Portland-Vancouver-Hillsboro,Detectives and Criminal Investigators,460,0.408,41.91,"87,170",41.36,"86,030"
1002, OR-WA,Portland-Vancouver-Hillsboro,Police and Sheriff's Patrol Officers,"2,530",2.236,34.01,"70,740",35.03,"72,850"
1003, OR-WA,Portland-Vancouver-Hillsboro,Private Detectives and Investigators,320,0.283,20.83,"43,330",21.37,"44,460"
1004, OR,Salem,First-Line Supervisors of Police and Detectives,140,0.886,45.73,"95,110",45.55,"94,750"
1005, OR,Salem,Correctional Officers and Jailers,810,5.035,25.63,"53,310",26.42,"54,940"
1006, OR,Salem,Detectives and Criminal Investigators,120,0.760,32.48,"67,560",30.00,"62,410"
1007, OR,Salem,Police and Sheriff's Patrol Officers,650,4.028,34.50,"71,760",35.56,"73,970"
1008, PA-NJ,Allentown-Bethlehem-Easton,First-Line Supervisors of Police and Detectives,120,0.334,44.76,"93,100",45.33,"94,280"
1009, PA-NJ,Allentown-Bethlehem-Easton,Correctional Officers and Jailers,440,1.251,25.77,"53,610",26.22,"54,530"
1010, PA-NJ,Allentown-Bethlehem-Easton,Detectives and Criminal Investigators,130,0.355,40.57,"84,380",36.51,"75,940"
1011, PA-NJ,Allentown-Bethlehem-Easton,Police and Sheriff's Patrol Officers,"1,620",4.563,31.67,"65,860",31.59,"65,710"
1012, PA-NJ,Allentown-Bethlehem-Easton,Private Detectives and Investigators,70,0.198,26.93,"56,010",26.59,"55,310"
1013, PA,Altoona,First-Line Supervisors of Police and Detectives,30,0.527,40.14,"83,500",36.45,"75,810"
1014, PA,Altoona,Police and Sheriff's Patrol Officers,290,4.992,25.09,"52,190",20.84,"43,360"
1015, PA,Bloomsburg-Berwick,Police and Sheriff's Patrol Officers,160,3.827,24.21,"50,360",20.42,"42,470"
1016, PA,Chambersburg-Waynesboro,First-Line Supervisors of Police and Detectives,40,0.640,35.94,"74,750",36.12,"75,120"
1017, PA,Chambersburg-Waynesboro,Police and Sheriff's Patrol Officers,220,3.841,29.11,"60,540",27.99,"58,220"
1018, PA,East Stroudsburg,First-Line Supervisors of Police and Detectives,40,0.813,49.73,"103,430",39.61,"82,380"
1019, PA,East Stroudsburg,Police and Sheriff's Patrol Officers,260,4.771,41.54,"86,410",37.34,"77,680"
1020, PA,Erie,First-Line Supervisors of Police and Detectives,50,0.410,41.00,"85,290",38.26,"79,570"
1021, PA,Erie,Correctional Officers and Jailers,540,4.292,23.27,"48,390",22.38,"46,550"
1022, PA,Erie,Detectives and Criminal Investigators,80,0.649,36.16,"75,220",37.22,"77,420"
1023, PA,Erie,Police and Sheriff's Patrol Officers,600,4.760,34.82,"72,430",35.90,"74,670"
1024, PA,Gettysburg,First-Line Supervisors of Police and Detectives,40,1.300,43.31,"90,080",45.77,"95,210"
1025, PA,Gettysburg,Police and Sheriff's Patrol Officers,190,6.007,32.39,"67,370",37.15,"77,280"
1026, PA,Harrisburg-Carlisle,First-Line Supervisors of Police and Detectives,240,0.751,46.99,"97,740",50.44,"104,910"
1027, PA,Harrisburg-Carlisle,Correctional Officers and Jailers,690,2.157,26.71,"55,550",27.11,"56,390"
1028, PA,Harrisburg-Carlisle,Detectives and Criminal Investigators,240,0.766,36.62,"76,170",34.67,"72,120"
1029, PA,Harrisburg-Carlisle,Police and Sheriff's Patrol Officers,"1,320",4.122,31.76,"66,060",31.80,"66,140"
1030, PA,Harrisburg-Carlisle,Private Detectives and Investigators,80,0.237,23.03,"47,900",20.58,"42,810"
1031, PA,Johnstown,Correctional Officers and Jailers,180,3.365,22.60,"47,000",22.63,"47,080"
1032, PA,Johnstown,Police and Sheriff's Patrol Officers,360,6.616,20.81,"43,290",17.48,"36,360"
1033, PA,Lancaster,First-Line Supervisors of Police and Detectives,90,0.374,43.22,"89,900",42.76,"88,950"
1034, PA,Lancaster,Detectives and Criminal Investigators,40,0.162,32.91,"68,460",34.73,"72,230"
1035, PA,Lancaster,Police and Sheriff's Patrol Officers,620,2.663,34.59,"71,940",35.51,"73,850"
1036, PA,Lebanon,Police and Sheriff's Patrol Officers,180,3.646,30.66,"63,760",29.83,"62,050"
1037, PA Metropolitan Division,Montgomery County-Bucks County-Chester County,First-Line Supervisors of Police and Detectives,290,0.284,51.29,"106,690",50.60,"105,250"
1038, PA Metropolitan Division,Montgomery County-Bucks County-Chester County,Correctional Officers and Jailers,"1,260",1.231,25.08,"52,170",24.74,"51,470"
1039, PA Metropolitan Division,Montgomery County-Bucks County-Chester County,Detectives and Criminal Investigators,250,0.245,41.61,"86,540",43.25,"89,970"
1040, PA Metropolitan Division,Montgomery County-Bucks County-Chester County,Police and Sheriff's Patrol Officers,"3,240",3.170,38.86,"80,830",41.12,"85,530"
1041, PA Metropolitan Division,Montgomery County-Bucks County-Chester County,Private Detectives and Investigators,90,0.090,31.54,"65,600",31.30,"65,100"
1042, PA Metropolitan Division,Philadelphia,First-Line Supervisors of Police and Detectives,"1,180",1.327,41.94,"87,240",39.12,"81,360"
1043, PA Metropolitan Division,Philadelphia,Correctional Officers and Jailers,"2,660",2.986,19.19,"39,910",18.06,"37,560"
1044, PA Metropolitan Division,Philadelphia,Detectives and Criminal Investigators,"1,180",1.325,41.95,"87,250",37.19,"77,350"
1045, PA Metropolitan Division,Philadelphia,Police and Sheriff's Patrol Officers,"6,600",7.409,33.11,"68,880",34.45,"71,650"
1046, PA Metropolitan Division,Philadelphia,Private Detectives and Investigators,340,0.385,24.07,"50,050",21.75,"45,230"
1047, PA,Pittsburgh,First-Line Supervisors of Police and Detectives,460,0.404,39.36,"81,880",36.58,"76,090"
1048, PA,Pittsburgh,Correctional Officers and Jailers,"1,530",1.353,26.72,"55,590",26.72,"55,580"
1049, PA,Pittsburgh,Detectives and Criminal Investigators,550,0.486,39.59,"82,350",36.52,"75,960"
1050, PA,Pittsburgh,Police and Sheriff's Patrol Officers,"5,370",4.733,28.50,"59,290",27.99,"58,210"
1051, PA,Pittsburgh,Private Detectives and Investigators,490,0.431,20.64,"42,920",18.71,"38,920"
1052, PA,Reading,First-Line Supervisors of Police and Detectives,110,0.633,40.10,"83,410",39.33,"81,800"
1053, PA,Reading,Detectives and Criminal Investigators,70,0.385,39.30,"81,740",37.10,"77,160"
